fips_num	id	geography	NACo Member	GovType	LgMdSm	CensusRegion	Population Levels and Trends - Population Level	Population Levels and Trends - Population Annual Growth Rate (from previous year)	Population by Ethnicity - Total Population	Population by Ethnicity - White Population	Population by Ethnicity - Black or African American Population	Population by Ethnicity - American Indian and Alaska Native Population	Population by Ethnicity - Asian Population	Population by Ethnicity - Native Hawaiian and Other Pacific Islander Population	Population by Ethnicity - Two or More Races Population	Population by Ethnicity - Hispanic or Latino Origin Population	Payment in Lieu of Taxes (PILT) - PILT Amount	Payment in Lieu of Taxes (PILT) - PILT Annual Growth Rate (from previous year)	State Criminal Alien Assistance Program (SCAAP) - SCAAP Level	State Criminal Alien Assistance Program (SCAAP) - SCAAP Annual Growth Rate (from previous year)
1001	1001	"Autauga County, AL"	yes	county	1	S	55246	-0.0003	55514	42389	10116	239	555	24	766	1425	4330	-0.024115393	.	.
1003	1003	"Baldwin County, AL"	yes	county	1	S	195540	0.0249	190790	158748	17977	1208	1520	79	2521	8737	31629	-0.025480651	.	.
1005	1005	"Barbour County, AL"	yes	county	0	S	27076	-0.0058	27201	12634	12756	65	122	25	214	1385	39519	-0.02405354	.	.
1007	1007	"Bibb County, AL"	yes	county	0	S	22512	-0.0067	22597	16847	4994	76	29	8	181	462	32143	0.560112605	.	.
1009	1009	"Blount County, AL"	yes	county	1	S	57872	0.0011	57826	50937	885	279	150	18	583	4974	.	.	.	.
1011	1011	"Bullock County, AL"	yes	county	0	S	10639	0.0032	10474	2368	7191	23	22	4	68	798	.	.	.	.
1013	1013	"Butler County, AL"	yes	county	0	S	20265	-0.0059	20307	10901	8775	66	187	7	128	243	.	.	.	.
1015	1015	"Calhoun County, AL"	yes	county	1	S	116736	-0.0044	117296	85815	24269	464	894	90	1696	4068	35659	0.048239167	.	.
1017	1017	"Chambers County, AL"	yes	county	0	S	34162	0.0026	34064	19636	13201	60	182	12	342	631	15815	-0.024006418	.	.
1019	1019	"Cherokee County, AL"	yes	county	0	S	26203	0.0056	26021	23909	1205	122	58	2	355	370	22265	0.367293048	.	.
1021	1021	"Chilton County, AL"	yes	county	0	S	43951	0.0034	43819	35425	4290	142	153	10	403	3396	25357	0.112344271	.	.
1023	1023	"Choctaw County, AL"	yes	county	0	S	13426	-0.0118	13633	7565	5858	23	33	0	64	90	12308	-0.024026643	.	.
1025	1025	"Clarke County, AL"	yes	county	0	S	25207	-0.0005	25161	13470	11041	105	82	4	170	289	4662	-0.024073686	.	.
1027	1027	"Clay County, AL"	yes	county	0	S	13486	0.0021	13435	10776	1929	66	27	0	209	428	56272	0.215666789	.	.
1029	1029	"Cleburne County, AL"	yes	county	0	S	14994	0.0073	14832	13740	541	52	26	1	152	320	105804	0.271041061	.	.
1031	1031	"Coffee County, AL"	yes	county	1	S	50938	-0.0066	51252	36800	8724	600	688	60	1116	3264	0	0	4128	-0.077335717
1033	1033	"Colbert County, AL"	yes	county	1	S	54520	0.0018	54446	43043	8815	267	266	17	782	1256	6324	-0.024074074	.	.
1035	1035	"Conecuh County, AL"	yes	county	0	S	12887	-0.0095	12981	6631	5930	45	13	2	139	221	.	.	.	.
1037	1037	"Coosa County, AL"	yes	county	0	S	10898	-0.0094	10966	7230	3340	44	17	0	109	226	349	-0.025139665	.	.
1039	1039	"Covington County, AL"	yes	county	0	S	37886	0.0008	37955	31645	4776	205	187	1	529	612	18094	-0.023054911	.	.
1041	1041	"Crenshaw County, AL"	yes	county	0	S	13986	0.0004	14083	9879	3377	70	289	1	216	251	.	.	.	.
1043	1043	"Cullman County, AL"	yes	county	1	S	80811	0.005	80440	74337	947	382	397	19	826	3532	.	.	.	.
1045	1045	"Dale County, AL"	yes	county	0	S	49884	-0.0093	50444	35593	9694	339	610	43	1224	2941	.	.	.	.
1047	1047	"Dallas County, AL"	yes	county	0	S	41996	-0.0166	42864	12238	29680	85	198	10	284	369	3790	0.103026775	.	.
1049	1049	"DeKalb County, AL"	yes	county	1	S	71013	0.0005	71080	57454	1167	920	197	44	1299	9999	11858	-0.024032922	9856	0.219349252
1051	1051	"Elmore County, AL"	yes	county	1	S	80902	0.006	80629	59694	16782	272	544	62	1105	2170	2495	-0.023865415	.	.
1053	1053	"Escambia County, AL"	yes	county	0	S	37983	-0.0023	37994	23113	12164	1277	99	12	553	776	9639	-0.022909275	.	.
1055	1055	"Etowah County, AL"	yes	county	1	S	103931	-0.0037	104392	82127	16006	363	734	36	1357	3769	0	0	.	.
1057	1057	"Fayette County, AL"	yes	county	0	S	16909	-0.0057	16983	14505	1972	53	43	1	166	243	.	.	.	.
1059	1059	"Franklin County, AL"	yes	county	0	S	31532	-0.0049	31761	25039	1276	135	77	3	339	4892	1320	0.269230769	.	.
1061	1061	"Geneva County, AL"	yes	county	0	S	26727	-0.0091	26931	22673	2637	193	86	8	394	940	.	.	.	.
1063	1063	"Greene County, AL"	yes	county	0	S	8744	-0.0119	8876	1598	7112	12	17	0	47	90	24973	-0.024072844	.	.
1065	1065	"Hale County, AL"	yes	county	0	S	15406	-0.0009	15388	6152	8922	24	45	2	83	160	28821	0.500312337	.	.
1067	1067	"Henry County, AL"	yes	county	0	S	17296	0.0006	17287	11742	4791	57	93	3	173	428	13700	-0.024077504	.	.
1069	1069	"Houston County, AL"	yes	county	1	S	103668	0.0036	103402	70141	27052	421	880	51	1539	3318	840	-0.024390244	.	.
1071	1071	"Jackson County, AL"	yes	county	1	S	52951	-0.0018	53019	47662	1753	703	181	28	1289	1403	746	-0.024836601	.	.
1073	1073	"Jefferson County, AL"	yes	county	2	S	659479	0.0017	660009	337166	278713	1600	9934	232	6451	25913	0	0	.	.
1075	1075	"Lamar County, AL"	yes	county	0	S	14236	-0.002	14259	12248	1599	28	13	1	179	191	431	-0.024886878	.	.
1077	1077	"Lauderdale County, AL"	yes	county	1	S	92797	0.0012	92542	78837	9247	348	707	22	1160	2221	3251	-0.024309724	.	.
1079	1079	"Lawrence County, AL"	yes	county	0	S	33587	-0.0057	33838	25868	3882	1889	67	6	1447	679	95360	0.063028114	.	.
1081	1081	"Lee County, AL"	yes	county	1	S	150933	0.0207	147257	101639	33708	407	4138	86	1941	5338	0	0	.	.
1083	1083	"Limestone County, AL"	yes	county	1	S	88845	0.0164	87654	68336	11317	508	1051	46	1356	5040	.	.	.	.
1085	1085	"Lowndes County, AL"	yes	county	0	S	10703	-0.0134	10857	2717	7926	25	17	1	62	109	26623	-0.024047802	.	.
1087	1087	"Macon County, AL"	yes	county	0	S	19688	-0.0353	20535	3305	16593	34	66	2	215	320	6626	0.725520833	.	.
1089	1089	"Madison County, AL"	yes	county	1	S	346892	0.0119	343080	225934	82699	2388	8362	286	7330	16081	.	.	.	.
1091	1091	"Marengo County, AL"	yes	county	0	S	20155	-0.0116	20401	9344	10419	40	50	7	132	409	3364	-0.024361949	.	.
1093	1093	"Marion County, AL"	yes	county	0	S	30334	-0.0067	30327	27997	1136	104	78	8	301	703	.	.	.	.
1095	1095	"Marshall County, AL"	yes	county	1	S	94760	0.0037	94776	78541	1653	556	581	86	1223	12136	0	0	1941	.
1097	1097	"Mobile County, AL"	yes	county	1	S	414079	0.0012	413936	241977	144502	3462	7923	180	5348	10544	19969	-0.024045746	.	.
1099	1099	"Monroe County, AL"	yes	county	0	S	22236	-0.0177	22602	12361	9312	280	80	4	326	239	5825	-0.024124644	.	.
1101	1101	"Montgomery County, AL"	yes	county	1	S	226659	-0.0116	230149	86255	127494	484	5163	99	2610	8044	1867	-0.023535565	14567	-0.318247765
1103	1103	"Morgan County, AL"	yes	county	1	S	119787	-0.0031	120395	92664	14493	956	762	63	2023	9434	.	.	.	.
1105	1105	"Perry County, AL"	yes	county	0	S	10020	-0.0174	10181	3058	6891	18	39	4	52	119	26002	0.348092078	.	.
1107	1107	"Pickens County, AL"	yes	county	0	S	19401	0.0036	19405	10822	7990	29	43	2	165	354	12327	-0.02406777	.	.
1109	1109	"Pike County, AL"	yes	county	0	S	33339	0.0068	33182	18916	12181	196	660	7	439	783	.	.	.	.
1111	1111	"Randolph County, AL"	yes	county	0	S	22727	0.0003	22675	17089	4512	85	66	9	235	679	255	-0.026717557	.	.
1113	1113	"Russell County, AL"	yes	county	1	S	59585	0.0313	57820	29338	24011	220	361	111	1099	2680	5437	-0.024053132	.	.
1115	1115	"St. Clair County, AL"	yes	county	1	S	86308	0.0132	85237	73929	7588	240	570	37	987	1886	192	-0.03030303	.	.
1117	1117	"Shelby County, AL"	yes	county	1	S	204180	0.0157	200941	159231	22855	525	4042	59	2254	11975	0	0	.	.
1119	1119	"Sumter County, AL"	yes	county	0	S	13361	-0.0034	13427	3237	9940	12	44	1	57	136	18931	-0.024074647	.	.
1121	1121	"Talladega County, AL"	yes	county	1	S	81096	-0.007	81762	52309	26095	256	345	10	991	1756	54339	0.080491539	.	.
1123	1123	"Tallapoosa County, AL"	yes	county	0	S	41203	0.0011	41168	28488	10909	125	186	2	384	1074	4901	-0.023899622	.	.
1125	1125	"Tuscaloosa County, AL"	yes	county	1	S	200821	0.0106	198596	127450	59702	486	2632	80	1895	6351	23601	0.014965811	.	.
1127	1127	"Walker County, AL"	yes	county	1	S	65998	-0.0026	66221	59531	4027	239	208	26	763	1427	.	.	.	.
1129	1129	"Washington County, AL"	yes	county	0	S	16877	-0.0141	17109	11240	4152	1298	26	9	183	201	1214	-0.024115756	.	.
1131	1131	"Wilcox County, AL"	yes	county	0	S	11307	-0.0088	11431	3107	8158	16	8	1	58	83	8910	-0.024096386	.	.
1133	1133	"Winston County, AL"	yes	county	0	S	24146	-0.0003	24108	22788	176	143	60	6	284	651	72982	0.366166863	.	.
2013	2013	"Aleutians East Borough, AK"	no	county	0	W	3092	-0.0152	3161	412	227	726	1253	22	107	414	512818	-0.026345468	.	.
