fips_num	id	stateFips	geography	countyGov	StatConsolidated	GovConsolidated	LgMdSm	RGDPGrowth13	HHpriceGrowth13	jobsGrowth13	avgWageGrowth13	unemGrowth13	RGDPGrowthLT	HHpriceGrowthLT	jobsGrowthLT	avgWageGrowthLT	avgUnemLT	RGDPGrowthDR	HHpriceGrowthDR	jobsGrowthDR	avgWageFAKE	unemLostDR	RGDPGrowthPR	HHpriceGrowthPR	jobsGrowthPR	avgWageGrowthPR	unemGainedPR	profLink	avgUnem13	avgUnemDR	avgUnemPR	unemChangeLT
1001	1001	1	"Autauga County, AL"	1	0	0	1	-0.00112766	0.07072496	0.0142512	0.02118598	-0.0070576	0.04570042	0.05238439	0.02285418	0.03218905	0.04201751	-0.00878697	-0.03896588	-0.01388631	124075	0.0290899	0.01307216	0.01817923	0.0142512	0.0231233	-0.00726477	profiles/AutaugaCountyAL.pdf	0.0574595	0.0657678	0.06914882	-0.00013553
1003	1003	1	"Baldwin County, AL"	1	0	0	1	0.04822944	0.1060725	0.0362762	0.01767207	-0.0065096	0.06620642	0.05219212	0.04557649	0.04370617	0.0397694	-0.01005883	-0.02494742	-0.02270377	118431	0.02020067	0.0350348	0.06722742	0.024223	0.01133136	-0.00866283	profiles/BaldwinCountyAL.pdf	0.0611487	0.0715196	0.0695331	0.0005387
1005	1005	1	"Barbour County, AL"	1	0	0	0	-0.04264923	0.08269098	0.01087358	0.01767175	-0.0107558	0.0356098	0.0443367	0.01136924	0.03225962	0.06607223	-0.02161167	-0.02576392	-0.02551105	111797	0.02633097		0.06440752	0.01087358	0.03397794	-0.00673938	profiles/BarbourCountyAL.pdf	0.1010359	0.08651443	0.10932797	0.0012096
1007	1007	1	"Bibb County, AL"	1	0	0	0	0.01857633	0.11133494	-0.0074756	0.03519662	-0.0078309	0.02008446	0.05176657	0.00315751	0.04401761	0.0647438	-0.02657436	-0.02835752	-0.01354666	492578	0.04183155	0.02133665	0.10518935	0.00654011	0.03797078	-0.01252757	profiles/BibbCountyAL.pdf	0.0686158	0.08486705	0.08540927	-0.00072748
1009	1009	1	"Blount County, AL"	1	0	0	1	-0.01027007	0.11035391	-0.00186763	0.03519512	-0.0063692	0.03430928	0.051186	0.01081274	0.04407558	0.0377602	-0.02591799	-0.0312419	-0.02996445	189869	0.0308565	0.00698646	0.087288	0.00263851	0.02110244	-0.00830585	profiles/BlountCountyAL.pdf	0.0558079	0.06495685	0.07134567	-0.00013976
1011	1011	1	"Bullock County, AL"	1	0	0	0	-0.02594645	0.07231265	0.00505311	0.01767143	-0.0128819	0.03444534	0.04504394	0.00721731	0.0398672	0.11008432	-0.03291936	-0.01367473	-0.0156251	203452	0.01340876	0.00291574	0.06274127	0.00505311	0.0161798	-0.01161765	profiles/BullockCountyAL.pdf	0.1210081	0.12062444	0.12744905	0.00018253
1013	1013	1	"Butler County, AL"	1	0	0	0	0.02134681	0.07951604	0.00858075	0.01767141	-0.0104351	0.03395981	0.04896503	0.00311632	0.03655772	0.08627216	-0.0449826	-0.03307873	-0.03706759	76735	0.03248143	0.03016656	0.07042288	0.01447836	0.02483296	-0.01217188	profiles/ButlerCountyAL.pdf	0.0980227	0.0916542	0.10997913	-0.00097268
1015	1015	1	"Calhoun County, AL"	1	0	0	1	-0.00077262	0.09935237	-0.00583913	-0.00262859	-0.0030951	0.02232401	0.0389257	0.00178602	0.03523582	0.05475333	-0.01728128	-0.02234262	-0.01861897	133967	0.0327307		0.06215472		0.00248309	-0.00662215	profiles/CalhounCountyAL.pdf	0.0726399	0.0744723	0.08280088	0.00025643
1017	1017	1	"Chambers County, AL"	1	0	0	0	-0.05611305	0.08328374	0.00898019	0.01767271	-0.0089244	0.0164261	0.04115465	-0.01325105	0.03341227	0.05886453	-0.08935457	-0.03900814	-0.06418931	37973	0.03189185	0.03192011	0.0677888	0.02490403	0.01424651	-0.02317843	profiles/ChambersCountyAL.pdf	0.0838328	0.10271265	0.10505423	0.00071997
1019	1019	1	"Cherokee County, AL"	1	0	0	0	0.04233987	0.09447474	0.0206111	0.01767301	-0.0068345	0.02997696	0.04759371	0.00576697	0.0467049	0.04896978	-0.03736515	-0.03234893	-0.01800256	33678	0.03417495	0.02541536	0.06188701	0.01299818	0.01459488	-0.00999172	profiles/CherokeeCountyAL.pdf	0.0642002	0.0772639	0.07765587	-0.00121622
1021	1021	1	"Chilton County, AL"	1	0	0	0	0.05907929	0.11211493	-0.00431974	0.03519562	-0.0066756	0.04343097	0.05079831	0.01887711	0.0397262	0.05187526	-0.0370839	-0.0308663	-0.03254421	105321	0.03286045	0.03500793	0.09991214	0.01868496	0.02113379	-0.00908213	profiles/ChiltonCountyAL.pdf	0.0584926	0.06959615	0.07400938	-0.00108957
1023	1023	1	"Choctaw County, AL"	1	0	0	0	0.05038881	0.08292456	0.00110535	0.01767335	-0.0086073	0.0135416	0.04537404	-0.02331049	0.03577721	0.09128253	-0.0311414	-0.02301788	-0.01914642	484585	0.02406773	0.03459046	0.06657499	0.02023421	0.0143971	-0.00990013	profiles/ChoctawCountyAL.pdf	0.0808537	0.08166457	0.09810228	-0.00160121
1025	1025	1	"Clarke County, AL"	1	0	0	0	0.02715392	0.08669702	0.00692896	0.01767262	-0.0116682	0.02258646	0.04492946	0.00343293	0.03475093	0.08001552	-0.01551272	-0.02284214	-0.03061419	479545	0.03368343	0.02715392	0.06683231	0.00692896	0.02992328	-0.01455337	profiles/ClarkeCountyAL.pdf	0.1096065	0.12705243	0.12625587	0.00144348
1027	1027	1	"Clay County, AL"	1	0	0	0	0.01187739	0.07727825	0.01027072	0.0176727	-0.0089693	0.03812131	0.04990329	0.00206771	0.0371555	0.05574463	-0.06049147	-0.03500107	-0.04433747	52038	0.03684937	0.01107008	0.05057855	0.01027072	0.01008098	-0.01630555	profiles/ClayCountyAL.pdf	0.0842541	0.0889101	0.1068805	0.00079276
1029	1029	1	"Cleburne County, AL"	1	0	0	0	0.01477661	0.08882464	0.01679911	0.01766967	-0.0066541	0.03150723	0.04746024	0.00479044	0.05062024	0.04538888	-0.02426015	-0.0289088	-0.0215248	88186	0.0201795	0.01477661	0.06528101	0.01679911	0.03531051	-0.0070344	profiles/CleburneCountyAL.pdf	0.0625061	0.0554754	0.07315782	0.00006058
1031	1031	1	"Coffee County, AL"	1	0	0	1	0.02569258	0.09333628	0.02432039	0.01767179	-0.0059546	0.03467156	0.04049535	0.00828397	0.03794065	0.04619864	-0.01822055	-0.02599342	-0.01278281	377709	0.01451813	0.02499051	0.07173851	0.01897818	0.01893356	-0.0049273	profiles/CoffeeCountyAL.pdf	0.055935	0.05025773	0.06501835	-0.00013046
1033	1033	1	"Colbert County, AL"	1	0	0	1	0.03107688	0.12790787	0.00318802	0.02898909	-0.0067515	0.01106295	0.03235891	-0.00058276	0.02451826	0.06381598	-0.02297195	-0.00787225	-0.0448679	410371	0.0320266	0.03270251	0.06621253	0.01216693	0.02509248	-0.00868267	profiles/ColbertCountyAL.pdf	0.0689096	0.0804029	0.0816281	-0.00028448
1035	1035	1	"Conecuh County, AL"	1	0	0	0	0.03913161	0.08427599	0.00555899	0.01767133	-0.0112037	0.03862864	0.0479319	-0.00006805	0.0412059	0.08235849	-0.06303623	-0.02700628	-0.03632585	400053	0.04361527	0.03913161	0.05390904	0.00723853	0.0045729	-0.01855715	profiles/ConecuhCountyAL.pdf	0.105243	0.1057763	0.13162128	0.00060364
1037	1037	1	"Coosa County, AL"	1	0	0	0	0.03439866	0.08524771	0.00612803	0.0176721	-0.0078732	0.01828733	0.04476431	-0.01922554	0.05159034	0.05414142	-0.04521693	-0.02937577	-0.02564108	307762	0.0252791	0.02094852	0.05566395	0.01073395	0.020373	-0.01749365	profiles/CoosaCountyAL.pdf	0.0739578	0.0786737	0.09673105	0.00060873
1039	1039	1	"Covington County, AL"	1	0	0	0	0.03068808	0.08358409	0.01394012	0.01767234	-0.0072362	0.02635162	0.04637899	-0.00161058	0.03883522	0.06218638	-0.03260192	-0.02684543	-0.02919597	28437	0.03150745	0.02442342	0.06773163	0.0103138	0.01923847	-0.0070653	profiles/CovingtonCountyAL.pdf	0.0679743	0.0741689	0.07956528	-0.0001841
1041	1041	1	"Crenshaw County, AL"	1	0	0	0	0.01434625	0.07605171	0.01399352	0.01767375	-0.0069337	0.0342004	0.0478044	-0.00355968	0.0459461	0.0641215	-0.04101978	-0.02147497	-0.03350076	223136	0.01951453	0.03128136	0.06758401	0.01266622	0.01407177	-0.00692365	profiles/CrenshawCountyAL.pdf	0.0651323	0.05950537	0.07661722	-0.00019601
1043	1043	1	"Cullman County, AL"	1	0	0	1	0.04008579	0.08804152	0.01772998	0.01767218	-0.0061623	0.04112003	0.04915976	0.0132289	0.03899514	0.045578	-0.02564759	-0.03249829	-0.02405728	464367	0.0312809	0.01464839	0.06400899	0.01915838	0.01760693	-0.00835593	profiles/CullmanCountyAL.pdf	0.0578857	0.06705205	0.07118025	-0.00035744
1045	1045	1	"Dale County, AL"	1	0	0	1	-0.02812602	0.09420643	0.01146417	0.01767167	-0.0070076	0.01736905	0.03751352	-0.00581767	0.04527682	0.05084499	-0.03244335	-0.01666117	-0.01126614	354413	0.02597235	0.03315946	0.07606469	0.01146417	0.02822903	-0.00500975	profiles/DaleCountyAL.pdf	0.0658267	0.06665525	0.07581743	0.00058707
1047	1047	1	"Dallas County, AL"	1	0	0	0	-0.00503784	0.08680952	0.00752071	0.01767196	-0.0132113	0.01482344	0.03814978	-0.00551151	0.04042149	0.10060479	-0.04601993	-0.03023793	-0.02180667	130114	0.0398242	0.00622112	0.06308512	0.00752071	0.01686093	-0.01662785	profiles/DallasCountyAL.pdf	0.1241017	0.1202266	0.14751767	0.00043966
1049	1049	1	"DeKalb County, AL"	1	0	0	1	0.01586482	0.08860124	0.02231136	0.0176721	-0.0081559	0.04768608	0.04564821	0.01714979	0.04130597	0.04942173	-0.05574654	-0.03352332	-0.01883646	237196	0.03058063	0.00794998	0.05315171	0.02231136	0.01970565	-0.01274847	profiles/DeKalbCountyAL.pdf	0.0766126	0.07179283	0.0960205	0.00030874
1051	1051	1	"Elmore County, AL"	1	0	0	1	0.03166533	0.07081975	0.01264458	0.02118609	-0.0074829	0.04596242	0.05266192	0.03144861	0.03466145	0.04086899	-0.05217141	-0.02848952	-0.02566807	337281	0.027962	0.03972844	0.0375437	0.0156009	0.01893687	-0.0058444	profiles/ElmoreCountyAL.pdf	0.0609218	0.0645475	0.0734052	0.00015599
1053	1053	1	"Escambia County, AL"	1	0	0	0	0.01503673	0.09252381	0.01461667	0.01767216	-0.0085815	0.02019494	0.04453035	0.00215253	0.03556734	0.06775775	-0.03218851	-0.03530166	-0.00826015	272549	0.02596337	0.01976803	0.07185711	0.00628204	0.02150004	-0.01000742	profiles/EscambiaCountyAL.pdf	0.0806114	0.07761963	0.09506067	-0.00001341
1055	1055	1	"Etowah County, AL"	1	0	0	1	0.00406723	0.10997969	0.00727335	0.01405921	-0.0064231	0.02003011	0.04999686	0.00574034	0.02692831	0.06048623	-0.06763697	-0.01651713	-0.01639865	273032	0.02190817	0.0074745	0.05436066	0.01072936	0.01038684	-0.0091117	profiles/EtowahCountyAL.pdf	0.0657144	0.06430723	0.07941025	-0.00160999
1057	1057	1	"Fayette County, AL"	1	0	0	0	0.03124309	0.07994725	0.00758482	0.01767267	-0.0076614	0.0293539	0.04695295	-0.00555201	0.02093734	0.06359646	-0.0653679	-0.03129449	-0.04968838	289281	0.02963363	0.0195	0.05602356	0.00714249	0.02217956	-0.01336695	profiles/FayetteCountyAL.pdf	0.0719687	0.076452	0.09151347	-0.00086312
1059	1059	1	"Franklin County, AL"	1	0	0	0	-0.00345293	0.07997281	0.01586504	0.01767264	-0.0078489	0.03640871	0.0445222	0.01203337	0.03693009	0.06850657	-0.03802904	-0.02224563	-0.05359953	230752	0.04014705	0.02817981	0.06974939	0.00897599	0.02156354	-0.01155525	profiles/FranklinCountyAL.pdf	0.0737295	0.0926495	0.08664272	-0.00139517
1061	1061	1	"Geneva County, AL"	1	0	0	0	-0.00759059	0.06406647	-0.00735326	0.01371822	-0.0068275	0.0339859	0.03513727	0.0004024	0.03537289	0.04901343	-0.03079231	-0.01328957	-0.02982958	297874	0.03320675		0.04537156		0.00941892	-0.00835665	profiles/GenevaCountyAL.pdf	0.062518	0.07196845	0.0750321	0.0007988
1063	1063	1	"Greene County, AL"	1	0	0	0	-0.05220952	0.1004505	0.00093036	0.01827044	-0.0135429	0.02913635	0.04558755	-0.00745181	0.03928584	0.10284684	-0.03971344	-0.03454173	-0.0322604	277980	0.03046617		0.03404061	0.00467369	0.01953303	-0.02341507	profiles/GreeneCountyAL.pdf	0.0999484	0.10915158	0.1169089	-0.00039487
1065	1065	1	"Hale County, AL"	1	0	0	0	-0.027829	0.09920572	0.00129399	0.01826831	-0.0117954	0.01485151	0.05091802	0.00465138	0.0473843	0.07144132	-0.02486618	-0.02723321	-0.02280899	73264	0.02154083		0.07291016	0.00369906	0.01249684	-0.0148105	profiles/HaleCountyAL.pdf	0.0870523	0.09257317	0.10100127	0.00064867
1067	1067	1	"Henry County, AL"	1	0	0	0	0.04656817	0.07314187	-0.01011245	0.0137171	-0.0071878	0.03355343	0.03831964	-0.00222737	0.04134365	0.05477299	-0.04739259	-0.01703994	-0.05607843	305825	0.02171227	0.04656817	0.05130075	0.00060858	0.01544822	-0.0084652	profiles/HenryCountyAL.pdf	0.0658179	0.07122527	0.07827047	0.00092227
1069	1069	1	"Houston County, AL"	1	0	0	1	0.01482833	0.07330482	0.00234034	0.01371773	-0.0068964	0.02774743	0.03498509	0.01146497	0.03297106	0.0407445	-0.04464014	-0.01932699	-0.01469454	432830	0.02704285	0.00836964	0.0529237	0.00234034	0.01509266	-0.00487545	profiles/HoustonCountyAL.pdf	0.0631494	0.0627719	0.07361245	0.00097451
1071	1071	1	"Jackson County, AL"	1	0	0	1	0.01554145	0.09151341	0.0146284	0.0176721	-0.0068045	0.03037163	0.04418968	0.00340079	0.03070231	0.06961149	-0.03366762	-0.0338038	-0.0462389	203734	0.0251488	0.00948856	0.07137411	0.00403384	0.01837933	-0.01250873	profiles/JacksonCountyAL.pdf	0.0639183	0.06897603	0.07850567	-0.00093499
1073	1073	1	"Jefferson County, AL"	1	0	0	2	0.00254546	0.10632755	-0.00701561	0.03519516	-0.006937	0.02100256	0.04087604	0.0103528	0.03591283	0.04051582	-0.01766105	-0.0325993	-0.01485981	290349	0.0313656	0.01273072	0.09330752	0.00098674	0.02763276	-0.00875913	profiles/JeffersonCountyAL.pdf	0.060783	0.07159255	0.07608228	0.00059216
1075	1075	1	"Lamar County, AL"	1	0	0	0	0.04722374	0.08257503	0.00532031	0.01767423	-0.0072894	0.01281299	0.03711336	-0.01538356	0.03607533	0.07055315	-0.0343632	-0.03254763	-0.04679179	371825	0.03288567	0.04005618	0.06654678	0.02129582	0.02441518	-0.018778	profiles/LamarCountyAL.pdf	0.0684741	0.08925873	0.0913434	-0.00025969
1077	1077	1	"Lauderdale County, AL"	1	0	0	1	0.01598729	0.12598043	0.00845793	0.02898937	-0.0059588	0.02622836	0.03164581	0.01115805	0.03245961	0.05760704		-0.00903998	-0.02340831	461189	0.01957687	0.00622073	0.04426867	0.00457341	0.01352943	-0.00853027	profiles/LauderdaleCountyAL.pdf	0.0608185	0.06083147	0.07333067	-0.00018057
1079	1079	1	"Lawrence County, AL"	1	0	0	0	0.01989821	0.09149748	-0.00789672	0.01628458	-0.0097336	0.02495785	0.0363383	-0.00612638	0.02670829	0.0615658	-0.03134937	-0.04630017	-0.01335661	483006	0.0433996	0.01989821	0.03013861	0.00205269	0.01246179	-0.01271298	profiles/LawrenceCountyAL.pdf	0.0710872	0.08946095	0.08959662	-0.00030879
1081	1081	1	"Lee County, AL"	1	0	0	1	0.02351224	0.09413948	0.02187152	0.03990439	-0.008565	0.03579023	0.04425993	0.02132675	0.03091655	0.0396234	-0.034749	-0.03028606	-0.02272534	196700	0.01814133	0.02431206	0.05739469	0.0193954	0.01610338	-0.00736863	profiles/LeeCountyAL.pdf	0.054223	0.05351867	0.06746587	-0.00011764
1083	1083	1	"Limestone County, AL"	1	0	0	1	0.04295231	0.09635153	0.00249118	0.01583879	-0.0057031	0.02555132	0.03556224	0.0072508	0.0301224	0.04494602	-0.06887472	-0.0097574	-0.04782667	342825	0.02917195	0.02182646	0.02904887	0.01950015	0.03087802	-0.00762248	profiles/LimestoneCountyAL.pdf	0.0565623	0.06416885	0.06816322	-0.00019131
1085	1085	1	"Lowndes County, AL"	1	0	0	0	-0.03635634	0.05970113	-0.02056915	0.02118686	-0.0154238	0.03622407	0.05239629	0.00385228	0.03981659	0.10908828	-0.0205649	-0.01915433	-0.03767154	69706	0.05449835		0.0303761		0.04232387	-0.0120998	profiles/LowndesCountyAL.pdf	0.1255725	0.13521335	0.14765323	-0.00096759
1087	1087	1	"Macon County, AL"	1	0	0	0	0.07490812	0.08434337	0.00227752	0.01767067	-0.0094241	-0.00087931	0.03995712	-0.00904868	0.03620344	0.06886671	-0.05737216	-0.02207697	-0.09781911	393400	0.0200053	0.07490812	0.05874836	0.00200969	0.03461359	-0.01233617	profiles/MaconCountyAL.pdf	0.0885264	0.08667473	0.10301403	0.00021201
1089	1089	1	"Madison County, AL"	1	0	0	1	0.01555425	0.08436999	-0.00629752	0.0158386	-0.0057071	0.03254259	0.02910935	0.01701344	0.03648848	0.03711369		-0.01711241	-0.00455062	126359	0.0118275	0.02545549	0.03318707		0.01918818	-0.0084922	profiles/MadisonCountyAL.pdf	0.0566013	0.06341302	0.05945485	0.00050938
1091	1091	1	"Marengo County, AL"	1	0	0	0	0.02154994	0.08504409	0.00495782	0.01767154	-0.0090051	0.03261943	0.04365463	0.01024031	0.03622922	0.06638404	-0.0324429	-0.02921806	-0.02176189	354847	0.0290864	0.02154994	0.06834844	0.00594163	0.0199661	-0.0106375	profiles/MarengoCountyAL.pdf	0.0845895	0.07924953	0.1031437	0.00096013
1093	1093	1	"Marion County, AL"	1	0	0	0	0.01692251	0.08951405	0.01103189	0.01767166	-0.0087697	0.03461685	0.04164654	0.0046559	0.03383044	0.07075301	-0.06684591	-0.0377096	-0.05520061	188846	0.0370537	0.01328899	0.06164653	0.00915767	0.01858404	-0.01659483	profiles/MarionCountyAL.pdf	0.0823794	0.0879525	0.10358085	-0.00216419
1095	1095	1	"Marshall County, AL"	1	0	0	1	0.03717187	0.09491367	0.02407313	0.01767203	-0.0067717	0.03514237	0.04737082	0.00928279	0.03558003	0.05494597	-0.03136434	-0.03458875	-0.01940405	105856	0.03047405	0.02966551	0.06775688	0.01644176	0.02173059	-0.0067069	profiles/MarshallCountyAL.pdf	0.0636107	0.06603655	0.0756299	-0.00087421
1097	1097	1	"Mobile County, AL"	1	0	0	1	0.02169805	0.04728386	0.00530919	0.01915059	-0.0094993	0.02836423	0.05395818	0.01521837	0.03052166	0.0541538	-0.03222413	-0.05510941	-0.01487628	295664	0.03315415	0.01807427	0.03134257	0.00530919	0.02398826	-0.00660957	profiles/MobileCountyAL.pdf	0.0742789	0.07530185	0.0887893	0.00041807
1099	1099	1	"Monroe County, AL"	1	0	0	0	0.02514765	0.08963643	0.00750627	0.01767067	-0.0118041	0.01074184	0.04055099	-0.01074176	0.03402869	0.09647496	-0.06424283	-0.03803977	-0.03886532	203034	0.04106987	0.01585508	0.05281049	0.00750627	0.01644703	-0.01611713	profiles/MonroeCountyAL.pdf	0.1108833	0.10683457	0.1379594	0.00053964
