Administration,Administration Expenditures,Total County
 Administration,Administration Expenditures,Total Administration
 Administration,Administration Expenditures,Financial Administration
 Administration,Administration Expenditures,Other Governmental Administration
 Administration,Administration Expenditures,Social Insurance Administration
 Administration,Administration Expenditures,Liquor Stores
 Administration,Administration Expenditures,Current Operations
 Administration,Administration Expenditures,Construction
 Administration,Administration Expenditures,Other Capital Outlay
 Administration,Administration Expenditures,Intergovernmental to State
 Administration,Administration Expenditures,Intergovernmental to Local
 Administration,Administration Employment,Total County
 Administration,Administration Employment,Total Administration
 Administration,Administration Employment,Financial Administration
 Administration,Administration Employment,Other Governmental Administration
 Administration,Administration Employment,Social Insurance Administration
 Administration,Administration Revenue,Total County
 Administration,Administration Revenue,Total Administration
 Administration,Administration Revenue,Charges
 Administration,Administration Revenue,Misc. General Revenue
 Administration,Administration Revenue,Liquor Stores
 Administration,Administration Revenue,Public Employee Retirement Systems
 Administration,Administration Revenue,Unemployment Compensation Systems
 County Employment,Administration Employment,Total County
 County Employment,Administration Employment,Total Administration
 County Employment,Administration Employment,Financial Administration
 County Employment,Administration Employment,Other Governmental Administration
 County Employment,Administration Employment,Social Insurance Administration
 County Employment,Public Amenity Employment,Total County
 County Employment,Public Amenity Employment,Total Public Amenity
 County Employment,Public Amenity Employment,Libraries
 County Employment,Public Amenity Employment,Natural Resources
 County Employment,Public Amenity Employment,Parks & Recreation
 County Employment,Education Employment,Total County
 County Employment,Education Employment,Total Education
 County Employment,Education Employment,Elementary & Secondary Education
 County Employment,Education Employment,Higher Education
 County Employment,Housing & Community Development Employment,Total County
 County Employment,Housing & Community Development Employment,Housing & Community Development
 County Employment,Health & Hospitals Employment,Total County
 County Employment,Health & Hospitals Employment,Total Health & Hospitals
 County Employment,Health & Hospitals Employment,Health
 County Employment,Health & Hospitals Employment,Hospitals
 County Employment,Justice & Public Safety Employment,Total County
 County Employment,Justice & Public Safety Employment,Total Justice & Public Safety
 County Employment,Justice & Public Safety Employment,Correction
 County Employment,Justice & Public Safety Employment,Judicial & Legal Services
 County Employment,Justice & Public Safety Employment,Police Protection
 County Employment,Justice & Public Safety Employment,Fire Protection
 County Employment,Public Welfare Employment,Total County
 County Employment,Public Welfare Employment,Public Welfare
 County Employment,Transportation Employment,Total County
 County Employment,Transportation Employment,Total Transportation
 County Employment,Transportation Employment,Air Transportation
 County Employment,Transportation Employment,Highways
 County Employment,Transportation Employment,Water Transport & Terminals
 County Employment,Transportation Employment,Transit
 County Employment,Utility Employment,Total County
 County Employment,Utility Employment,Total Utility
 County Employment,Utility Employment,Electric Utilities
 County Employment,Utility Employment,Gas Utilities
 County Employment,Water, Sewerage & Solid Waste Employment,Total County
 County Employment,Water, Sewerage & Solid Waste Employment,Total Water, Sewerage & Solid Waste
 County Employment,Water, Sewerage & Solid Waste Employment,Sewerage
 County Employment,Water, Sewerage & Solid Waste Employment,Solid Waste
 County Employment,Water, Sewerage & Solid Waste Employment,Water Utilities
 County Employment,Other Employment,Total County
 County Employment,Other Employment,Other & Unallocable
 County Finance,Administration Revenue,Total County
 County Finance,Administration Revenue,Total Administration
 County Finance,Administration Revenue,Charges
 County Finance,Administration Revenue,Misc. General Revenue
 County Finance,Administration Revenue,Liquor Stores
 County Finance,Administration Revenue,Public Employee Retirement Systems
 County Finance,Administration Revenue,Unemployment Compensation Systems
 County Finance,Intergovernmental Revenue,Total County
 County Finance,Intergovernmental Revenue,Total Intergovernmental
 County Finance,Intergovernmental Revenue,From Federal Government
 County Finance,Intergovernmental Revenue,From Local Government
 County Finance,Intergovernmental Revenue,From State Government
 County Finance,Tax Revenue,Total County
 County Finance,Tax Revenue,Total Taxes
 County Finance,Tax Revenue,Income Taxes
 County Finance,Tax Revenue,License Taxes
 County Finance,Tax Revenue,Other Taxes
 County Finance,Tax Revenue,Property Taxes
 County Finance,Tax Revenue,Sales & Gross Receipts Taxes
 County Finance,Utility Revenue,Total County
 County Finance,Utility Revenue,Total Utility
 County Finance,Utility Revenue,Electric Power Systems
 County Finance,Utility Revenue,Gas Supply Systems
 County Finance,Utility Revenue,Public Mass Transit Systems
 County Finance,Utility Revenue,Water Supply Systems
 County Finance,Administration Expenditures,Total County
 County Finance,Administration Expenditures,Total Administration
 County Finance,Administration Expenditures,Financial Administration
 County Finance,Administration Expenditures,Other Governmental Administration
 County Finance,Administration Expenditures,Social Insurance Administration
 County Finance,Administration Expenditures,Liquor Stores
 County Finance,Administration Expenditures,Current Operations
 County Finance,Administration Expenditures,Construction
 County Finance,Administration Expenditures,Other Capital Outlay
 County Finance,Administration Expenditures,Intergovernmental to State
 County Finance,Administration Expenditures,Intergovernmental to Local
 County Finance,Public Amenity Expenditures,Total County
 County Finance,Public Amenity Expenditures,Total Public Amenity
 County Finance,Public Amenity Expenditures,Libraries
 County Finance,Public Amenity Expenditures,Natural Resources
 County Finance,Public Amenity Expenditures,Parks & Recreation
 County Finance,Public Amenity Expenditures,Current Operations
 County Finance,Public Amenity Expenditures,Construction
 County Finance,Public Amenity Expenditures,Other Capital Outlay
 County Finance,Public Amenity Expenditures,Intergovernmental to State
 County Finance,Public Amenity Expenditures,Intergovernmental to Local
 County Finance,Education Expenditures,Total County
 County Finance,Education Expenditures,Total Education
 County Finance,Education Expenditures,Elementary & Secondary Education
 County Finance,Education Expenditures,Higher Education
 County Finance,Education Expenditures,Current Operations
 County Finance,Education Expenditures,Construction
 County Finance,Education Expenditures,Other Capital Outlay
 County Finance,Education Expenditures,Intergovernmental to State
 County Finance,Education Expenditures,Intergovernmental to Local
 County Finance,Housing & Community Development Expenditures,Total County
 County Finance,Housing & Community Development Expenditures,Total Housing & Community Development
 County Finance,Housing & Community Development Expenditures,Current Operations
 County Finance,Housing & Community Development Expenditures,Construction
 County Finance,Housing & Community Development Expenditures,Other Capital Outlay
 County Finance,Housing & Community Development Expenditures,Intergovernmental to State
 County Finance,Housing & Community Development Expenditures,Intergovernmental to Local
 County Finance,Health & Hospitals Expenditures,Total County
 County Finance,Health & Hospitals Expenditures,Total Health & Hospitals
 County Finance,Health & Hospitals Expenditures,Health
 County Finance,Health & Hospitals Expenditures,Hospitals
 County Finance,Health & Hospitals Expenditures,Current Operations
 County Finance,Health & Hospitals Expenditures,Construction
 County Finance,Health & Hospitals Expenditures,Other Capital Outlay
 County Finance,Health & Hospitals Expenditures,Intergovernmental to State
 County Finance,Health & Hospitals Expenditures,Intergovernmental to Local
 County Finance,Financial Expenditures,Total County
 County Finance,Financial Expenditures,Total Financial
 County Finance,Financial Expenditures,Interest on General Debt
 County Finance,Financial Expenditures,Insurance Trust - Employee Retirement
 County Finance,Financial Expenditures,Insurance Trust - Unemployment
 County Finance,Justice & Public Safety Expenditures,Total County
 County Finance,Justice & Public Safety Expenditures,Total Justice & Public Safety
 County Finance,Justice & Public Safety Expenditures,Correction
 County Finance,Justice & Public Safety Expenditures,Judicial & Legal Services
 County Finance,Justice & Public Safety Expenditures,Police Protection
 County Finance,Justice & Public Safety Expenditures,Fire Protection
 County Finance,Justice & Public Safety Expenditures,Protective Inspection
 County Finance,Justice & Public Safety Expenditures,Current Operations
 County Finance,Justice & Public Safety Expenditures,Construction
 County Finance,Justice & Public Safety Expenditures,Other Capital Outlay
 County Finance,Justice & Public Safety Expenditures,Intergovernmental to State
 County Finance,Justice & Public Safety Expenditures,Intergovernmental to Local
 County Finance,Public Welfare Expenditures,Total County
 County Finance,Public Welfare Expenditures,Total Public Welfare
 County Finance,Public Welfare Expenditures,Cash Assistance
 County Finance,Public Welfare Expenditures,Vendor Payments
 County Finance,Public Welfare Expenditures,Other Public Welfare
 County Finance,Public Welfare Expenditures,Current Operations
 County Finance,Public Welfare Expenditures,Construction
 County Finance,Public Welfare Expenditures,Assistance & Subsidies
 County Finance,Public Welfare Expenditures,Other Capital Outlay
 County Finance,Public Welfare Expenditures,Intergovernmental to State
 County Finance,Public Welfare Expenditures,Intergovernmental to Local
 County Finance,Transportation Expenditures,Total County
 County Finance,Transportation Expenditures,Total Transportation
 County Finance,Transportation Expenditures,Air Transportation
 County Finance,Transportation Expenditures,Highways
